"","Name","Clay","Hard","Grass","Played"
"351","Bernabe Zapata Miralles",0.5,0.5,0.5,47
"352","Federico Coria",0.5,0.5,0.5,88
"353","Filip Horansky",0.5,0.5,0.5,11
"354","Calvin Hemery",0.5,0.5,0.5,7
"355","Alex Bolt",0.5,0.5,0.5,38
"356","Rudolf Molleker",0.5,0.5,0.5,14
"357","Jay Clarke",0.5,0.5,0.5,13
"358","Bradley Klahn",0.5,0.5,0.5,33
"359","Jason Jung",0.5,0.5,0.5,32
"360","Christian Harrison",0.5,0.5,0.5,12
"361","Oriol Roca Batalla",0.5,0.5,0.5,2
"362","Daniel Masur",0.5,0.5,0.5,6
"363","Marcos Giron",0.5,0.5,0.5,121
"364","James Duckworth",0.5,0.5,0.5,87
"365","Dominik Koepfer",0.5,0.5,0.5,85
"366","Jason Kubler",0.5,0.5,0.5,34
"367","Ugo Humbert",0.5,0.5,0.5,156
"368","Jurabek Karimov",0.5,0.5,0.5,2
"369","Yosuke Watanuki",0.5,0.5,0.5,17
"370","Jonathan Mridha",0.5,0.5,0.5,2
"371","Martin Cuevas",0.5,0.5,0.5,9
"372","Constant Lestienne",0.5,0.5,0.5,24
"373","Salvatore Caruso",0.5,0.5,0.5,62
"374","Oscar Otte",0.5,0.5,0.5,69
"375","Alexei Popyrin",0.5,0.5,0.5,116
"376","Miomir Kecmanovic",0.5,0.5,0.5,188
"377","Juan Ignacio Londero",0.5,0.5,0.5,83
"378","Pedro Cachin",0.5,0.5,0.5,21
"379","Antoine Hoang",0.5,0.5,0.5,19
"380","Brayden Schnur",0.5,0.5,0.5,22
"381","Gregoire Barrere",0.5,0.5,0.5,45
"382","Hugo Dellien",0.5,0.5,0.5,64
"383","Thiago Seyboth Wild",0.5,0.5,0.5,24
"384","Jannik Sinner",0.5,0.5,0.5,195
"385","Alejandro Davidovich Fokina",0.5,0.5,0.5,138
"386","Tristan Lamasine",0.5,0.5,0.5,5
"387","Steven Diez",0.5,0.5,0.5,8
"388","Elliot Benchetrit",0.5,0.5,0.5,7
"389","Kevin Krawietz",0.5,0.5,0.5,2
"390","Nino Serdarusic",0.5,0.5,0.5,8
"391","Soon Woo Kwon",0.5,0.5,0.5,119
"392","Kevin King",0.5,0.5,0.5,5
"393","Gian Marco Moroni",0.5,0.5,0.5,4
"394","Marc Polmans",0.5,0.5,0.5,19
"395","Duck Hee Lee",0.5,0.5,0.5,3
"396","Jenson Brooksby",0.5,0.5,0.5,79
"397","Nikola Milojevic",0.5,0.5,0.5,12
"398","Alen Avidzba",0.5,0.5,0.5,2
"399","Gianluca Mager",0.5,0.5,0.5,59
"400","Cayetano March",0.5,0.5,0.5,2
"401","Ji Sung Nam",0.5,0.5,0.5,6
"402","Sanjar Fayziev",0.5,0.5,0.5,13
"403","Jonas Forejtek",0.5,0.5,0.5,4
"404","Sandro Ehrat",0.5,0.5,0.5,5
"405","Lucas Gomez",0.5,0.5,0.5,7
"406","Ajeet Rai",0.5,0.5,0.5,4
"407","Rhett Purcell",0.5,0.5,0.5,1
"408","Ari Fahresi",0.5,0.5,0.5,1
"409","Tung Lin Wu",0.5,0.5,0.5,8
"410","Aleksandre Metreveli",0.5,0.5,0.5,9
"411","Filip Cristian Jianu",0.5,0.5,0.5,4
"412","Dimitar Kuzmanov",0.5,0.5,0.5,21
"413","Philip Henning",0.5,0.5,0.5,3
"414","Kimmer Coppejans",0.5,0.5,0.5,11
"415","Kacper Zuk",0.5,0.5,0.5,8
"416","Pedro Martinez",0.5,0.5,0.5,106
"417","Alejandro Tabilo",0.5,0.5,0.5,45
"418","Tatsuma Ito",0.5,0.5,0.5,8
"419","Roberto Marcora",0.5,0.5,0.5,7
"420","Brandon Nakashima",0.5,0.5,0.5,94
"421","Carlos Alcaraz",0.5,0.5,0.5,121
"422","Maxime Cressy",0.5,0.5,0.5,70
"423","J J Wolf",0.5,0.5,0.5,42
"424","Christopher Oconnell",0.5,0.5,0.5,39
"425","Sumit Nagal",0.5,0.5,0.5,24
"426","Lorenzo Musetti",0.5,0.5,0.5,120
"427","Jurij Rodionov",0.5,0.5,0.5,27
"428","Lorenzo Giustino",0.5,0.5,0.5,5
"429","Hugo Gaston",0.5,0.5,0.5,53
"430","Sebastian Korda",0.5,0.5,0.5,122
"431","Danilo Petrovic",0.5,0.5,0.5,5
"432","Andrea Pellegrino",0.5,0.5,0.5,2
"433","Roman Safiullin",0.5,0.5,0.5,28
"434","Aslan Karatsev",0.5,0.5,0.5,110
"435","Borna Gojo",0.5,0.5,0.5,22
"436","Roberto Cid",0.5,0.5,0.5,8
"437","Patrik Niklas Salminen",0.5,0.5,0.5,4
"438","Otto Virtanen",0.5,0.5,0.5,7
"439","Lukas Hellum Lilleengen",0.5,0.5,0.5,2
"440","Daniel Cukierman",0.5,0.5,0.5,7
"441","Finn Tearney",0.5,0.5,0.5,4
"442","Alexandar Lazarov",0.5,0.5,0.5,8
"443","Alexander Donski",0.5,0.5,0.5,2
"444","Mikael Torpegaard",0.5,0.5,0.5,6
"445","Blaise Bicknell",0.5,0.5,0.5,6
"446","Kristjan Tamm",0.5,0.5,0.5,5
"447","Daniil Glinka",0.5,0.5,0.5,2
"448","Christopher Rungkat",0.5,0.5,0.5,2
"449","Gunawan Trismuwantara",0.5,0.5,0.5,2
"450","Robert Strombachs",0.5,0.5,0.5,4
"451","Adam Moundir",0.5,0.5,0.5,2
"452","Aissa Benchakroun",0.5,0.5,0.5,1
"453","Adolfo Daniel Vallejo",0.5,0.5,0.5,4
"454","Martin Antonio Vergara Del Puerto",0.5,0.5,0.5,2
"455","Petros Tsitsipas",0.5,0.5,0.5,6
"456","Maks Kasnikowski",0.5,0.5,0.5,1
"457","Hazem Naw",0.5,0.5,0.5,2
"458","Zizou Bergs",0.5,0.5,0.5,18
"459","Tomas Machac",0.5,0.5,0.5,21
"460","Max Purcell",0.5,0.5,0.5,22
"461","Jack Draper",0.5,0.5,0.5,45
"462","Arthur Rinderknech",0.5,0.5,0.5,82
"463","Vit Kopriva",0.5,0.5,0.5,10
"464","Alexander Erler",0.5,0.5,0.5,2
"465","Mario Vilella Martinez",0.5,0.5,0.5,10
"466","Dominic Stricker",0.5,0.5,0.5,20
"467","Arthur Cazaux",0.5,0.5,0.5,3
"468","Aleksandar Vukic",0.5,0.5,0.5,20
"469","Alex Molcan",0.5,0.5,0.5,64
"470","Sebastian Baez",0.5,0.5,0.5,66
"471","Botic Van De Zandschulp",0.5,0.5,0.5,99
"472","Andrea Vavassori",0.5,0.5,0.5,3
"473","Duje Ajdukovic",0.5,0.5,0.5,3
"474","Francisco Cerundolo",0.5,0.5,0.5,66
"475","Lukas Klein",0.5,0.5,0.5,8
"476","Enzo Couacaud",0.5,0.5,0.5,8
"477","Zachary Svajda",0.5,0.5,0.5,5
"478","Alexandre Muller",0.5,0.5,0.5,6
"479","Nuno Borges",0.5,0.5,0.5,15
"480","Juan Manuel Cerundolo",0.5,0.5,0.5,20
"481","Dane Sweeny",0.5,0.5,0.5,2
"482","Tomas Martin Etcheverry",0.5,0.5,0.5,23
"483","Timofey Skatov",0.5,0.5,0.5,7
"484","Adrian Andreev",0.5,0.5,0.5,9
"485","Hugo Grenier",0.5,0.5,0.5,10
"486","Andrew Harris",0.5,0.5,0.5,3
"487","Harry Bourchier",0.5,0.5,0.5,2
"488","Flavio Cobolli",0.5,0.5,0.5,7
"489","Mats Moraing",0.5,0.5,0.5,3
"490","Daniil Ostapenkov",0.5,0.5,0.5,3
"491","Murkel Alejandro Dellien Velasco",0.5,0.5,0.5,4
"492","Michael Geerts",0.5,0.5,0.5,3
"493","Orlando Luz",0.5,0.5,0.5,2
"494","Felipe Meligeni Alves",0.5,0.5,0.5,6
"495","Matheus Pucinelli De Almeida",0.5,0.5,0.5,4
"496","Kaichi Uchida",0.5,0.5,0.5,5
"497","Yuta Shimizu",0.5,0.5,0.5,2
"498","Aziz Dougaz",0.5,0.5,0.5,9
"499","Aziz Ouakaa",0.5,0.5,0.5,2
"500","Justin Barki",0.5,0.5,0.5,2
"501","Nick Hardt",0.5,0.5,0.5,5
"502","Alexandros Skorilas",0.5,0.5,0.5,1
"503","Ruan Roelofse",0.5,0.5,0.5,3
"504","Tom Kocevar Desman",0.5,0.5,0.5,2
"505","Bor Artnak ",0.5,0.5,0.5,4
"506","Hernando Jose Escurra Isnardi",0.5,0.5,0.5,2
"507","Jerome Kym",0.5,0.5,0.5,1
"508","Christian Sigsgaard",0.5,0.5,0.5,5
"509","Kasidit Samrej",0.5,0.5,0.5,7
"510","Ergi Kirkin",0.5,0.5,0.5,4
"511","Michail Pervolarakis",0.5,0.5,0.5,13
"512","Juan Pablo Ficovich",0.5,0.5,0.5,3
"513","Jiri Lehecka",0.5,0.5,0.5,45
"514","Gijs Brouwer",0.5,0.5,0.5,5
"515","Pavel Kotov",0.5,0.5,0.5,10
"516","Johan Nikles",0.5,0.5,0.5,3
"517","Manuel Guinard",0.5,0.5,0.5,9
"518","Camilo Ugo Carabelli",0.5,0.5,0.5,2
